Price,Odometer,Make,Year,BodyType,Drivetrain,Fuel,Transmission,Colour,Seats,FuelConsumption
4500,134094,23,2002,2,2,1,1,6,5,8.911157025
9999,295000,10,2013,8,1,1,2,1,3,10.1
18500,80000,9,2017,2,2,1,1,3,5,5.9
17500,75000,9,2016,2,2,1,2,3,5,5.8
35998,57192,23,2019,5,4,1,1,6,4,6.9
55000,22000,23,2021,5,4,1,2,4,4,6.4
20000,96183,23,2011,5,4,1,2,1,4,7.3
37881,1008,21,2022,5,2,1,1,1,5,5.8
19888,94585,21,2015,5,3,1,1,7,5,6.5
38881,1008,21,2022,5,2,1,1,1,5,5.8
19888,94585,21,2015,5,3,1,1,7,5,6.5
49000,49600,25,2017,5,3,1,1,1,5,9.5
45900,59665,25,2019,5,2,1,1,3,7,9.1
6500,296089,25,2004,5,3,1,1,4,7,8.911157025
14950,94000,6,2014,5,3,1,1,7,5,8
11000,176000,20,2008,1,3,1,1,5,5,8.5
32000,384420,25,2001,6,4,2,2,1,3,8.911157025
18000,464740,25,2000,5,4,1,1,7,8,8.911157025
27500,314000,25,2000,6,4,2,2,1,3,8.911157025
53999,97701,25,2016,5,4,2,1,2,7,8
168000,795,25,2022,5,4,2,1,1,5,8.9
104888,90253,25,2017,5,4,1,1,2,8,13.4
49980,132547,25,2017,5,4,2,1,1,7,8
103990,102403,25,2018,5,4,2,1,1,7,9.5
95999,31174,25,2018,7,4,2,2,2,5,10.7
33990,482350,25,1995,5,4,2,2,6,8,8.911157025
20990,201907,25,2005,5,4,1,1,1,8,8.911157025
24999,242172,25,2005,5,4,1,1,2,8,8.911157025
19989,261791,25,2005,5,4,1,1,1,8,8.911157025
47500,200000,25,1992,5,4,2,1,7,8,8.911157025
39990,396479,25,2002,5,4,2,1,1,8,8.911157025
3550,256988,23,2005,1,2,1,2,7,5,7.4
6200,60410,23,2003,2,2,1,2,1,5,8.911157025
10000,248000,25,1990,8,1,1,2,1,8,8.911157025
17880,138555,16,2014,1,2,1,1,1,5,5.7
14000,192000,18,2008,5,4,1,1,2,5,11.7
13000,193000,18,2009,5,4,2,1,7,5,9.8
11000,83000,20,2014,2,2,1,1,1,5,4.6
14000,60000,20,2018,2,2,1,1,10,5,4.7
80000,5950,24,2021,1,3,3,1,4,5,8.911157025
75000,9000,24,2022,1,1,3,1,1,5,8.911157025
77000,10500,24,2022,1,1,3,1,4,5,8.911157025
88990,22,24,2022,5,3,3,1,1,5,8.911157025
58490,79876,8,2003,3,1,1,2,3,4,13
9990,205551,21,2011,5,4,1,1,4,5,10.9
63887,47600,6,2018,3,1,1,2,12,4,13
69888,31888,6,2018,3,1,1,2,4,4,13
63887,47600,6,2018,3,1,1,2,12,4,13
37000,2000,16,2022,5,2,1,1,3,5,6.4
46578,49655,21,2017,7,4,2,1,1,5,7
20000,175244,21,2011,7,4,2,1,2,5,10.5
10500,218921,21,2009,6,1,2,2,1,3,7.3
23000,244000,21,2013,7,4,2,1,1,5,9
71881,1,21,2022,7,4,2,1,1,5,7.9
55888,46627,21,2020,7,4,2,1,1,5,7
49980,84672,21,2018,7,4,2,1,2,5,7
55999,42500,21,2020,7,4,2,1,2,5,7
48999,62989,21,2018,7,4,2,1,2,5,7
23381,109150,21,2013,7,4,2,2,7,5,8.5
46578,49655,21,2017,7,4,2,1,1,5,7
66881,1,21,2022,7,4,2,1,1,4,7.8
20000,175244,21,2011,7,4,2,1,2,5,10.5
48777,63500,21,2019,7,4,2,1,1,5,7
44500,69727,21,2018,7,4,2,1,4,5,7
45999,92000,13,2006,5,4,1,1,2,7,8.911157025
13500,78250,16,2014,2,2,1,2,2,5,5.4
12970,92824,11,2012,4,2,1,1,2,7,8.911157025
13990,174395,11,2013,1,2,1,1,1,5,8.911157025
17000,170000,20,2014,5,4,1,1,1,5,7.5
43000,9000,20,2022,5,3,1,1,5,5,7.8
15000,152000,20,2012,5,4,1,1,12,5,9.3
42000,144000,20,2016,5,4,2,1,1,7,9
2500,280000,20,1994,5,4,2,2,6,7,8.911157025
325000,63000,5,1971,3,1,1,2,11,2,8.911157025
23999,149145,21,2015,5,4,1,1,1,7,10.2
31990,142789,21,2013,6,4,2,2,1,2,11.4
95881,1008,21,2022,5,4,1,1,1,8,14.4
23990,221852,21,2005,5,4,2,1,1,7,10.9
69980,102307,21,2017,5,4,1,1,2,8,14.4
55980,135283,21,2013,5,4,1,1,12,7,14.5
87999,54550,21,2020,5,4,1,1,2,8,14.4
32000,2163330,21,2003,6,4,2,2,1,3,12.9
32000,2163330,21,2003,6,4,2,2,1,2,12.9
93777,1540,21,2022,5,4,1,1,2,8,14.4
16488,34748,11,2016,2,2,1,1,1,5,8.911157025
21990,36647,11,2020,2,2,1,1,1,5,8.911157025
19998,25347,11,2018,2,2,1,1,1,5,8.911157025
19900,296593,25,2004,5,4,2,2,1,8,8.911157025
19989,261791,25,2005,5,4,1,1,1,8,8.911157025
8000,420137,25,1997,5,4,1,2,1,8,8.911157025
69500,35631,13,1959,3,1,1,1,10,6,8.911157025
42888,61607,2,2019,5,3,1,1,3,5,6.5
38985,70676,2,2017,5,3,2,1,2,5,5
61588,29987,2,2021,5,2,1,1,1,5,7.2
28999,118148,2,2013,5,3,1,1,2,5,7.7
66980,26449,2,2019,5,3,2,1,5,5,5.5
56298,56398,2,2018,5,3,1,1,1,5,7.3
18999,149700,2,2007,5,3,1,1,2,5,12.7
65996,57690,2,2016,5,3,2,1,7,7,5.8
134990,14501,2,2021,5,3,2,1,3,5,6.9
124990,27913,2,2019,5,3,1,1,1,5,9.2
24990,47000,21,2017,5,2,1,1,2,5,6.9
389990,10805,2,2020,3,1,1,1,3,2,12
200000,28500,2,2013,3,3,1,1,2,2,12.4
29500,217738,6,2017,7,4,2,1,1,5,8.7
46500,100148,6,2017,7,4,2,1,3,5,8.7
59999,59103,6,2019,7,4,2,1,3,5,7.4
59990,5031,6,2022,7,4,2,1,2,5,8.9
54500,84000,6,2017,7,4,2,1,12,5,8.9
18432,221000,6,2008,6,4,2,2,1,4,9.2
53500,9568,6,2022,7,4,2,1,1,5,8.9
29888,60921,25,2017,5,3,1,1,1,5,8.5
12990,90528,11,2013,2,2,1,2,1,5,8.911157025
7970,144910,11,2008,2,2,1,2,12,5,8.911157025
13589,62531,11,2013,2,2,1,2,3,5,8.911157025
273865,0,2,2022,1,3,3,1,4,5,8.911157025
273865,0,2,2022,1,3,3,1,6,5,8.911157025
106977,19967,2,2020,5,3,1,1,1,5,8.9
59999,49950,2,2016,5,3,1,1,2,5,8.6
248452,0,2,2022,5,3,1,1,4,5,12.1
268888,14789,2,2020,5,3,1,1,1,5,12.1
76888,74500,2,2017,1,3,1,1,1,5,8.3
58990,75745,2,2015,2,3,1,1,4,5,8.1
69000,97000,2,2007,1,3,1,2,7,5,13.7
139990,27184,2,2019,4,3,1,1,2,5,8.9
125000,1126,2,2012,3,3,1,1,2,4,10.5
52990,94125,2,2011,3,3,1,1,4,4,10.8
257926,0,2,2022,4,3,1,1,2,5,11.7
257926,0,2,2022,4,3,1,1,5,5,11.7
119990,99465,2,2016,2,3,1,1,1,4,9.6
119990,99465,2,2016,2,3,1,1,1,4,9.6
225000,600,16,1999,3,2,1,2,5,2,8.911157025
6500,190213,26,2007,1,2,1,1,2,5,9.2
4250,304920,26,1997,1,1,1,1,2,5,8.911157025
6900,225000,10,2007,5,4,1,1,1,5,10.6
25000,12,1,1954,1,1,1,1,7,6,8.911157025
640000,0,18,2021,1,1,1,1,1,5,13.6
12000,140000,18,2002,1,2,1,1,2,5,11
45089,0,23,2022,5,2,1,1,3,5,5.9
47780,15518,11,2021,5,3,1,1,2,7,8.911157025
62650,11863,11,2019,1,2,1,1,3,5,8.911157025
8970,128899,10,2009,1,2,1,1,1,5,8.4
14990,186003,11,2011,5,2,1,1,3,7,8.911157025
34990,53000,11,2019,5,3,1,1,3,7,8.911157025
11980,189312,11,2009,5,4,1,1,2,5,8.911157025
68977,36871,11,2021,5,3,2,1,1,7,8.911157025
15990,326271,11,2014,5,4,2,1,1,7,8.911157025
55000,64000,27,1956,3,1,1,1,11,6,8.911157025
61474,533,11,2022,5,3,1,1,4,7,8.911157025
30480,12180,11,2021,5,2,1,1,5,5,8.911157025
10500,195000,11,2013,5,2,1,2,3,5,8.911157025
15999,105465,11,2014,5,2,1,2,2,5,8.911157025
53990,35103,11,2018,1,2,1,1,3,5,8.911157025
26600,1206,11,2022,5,2,1,1,2,5,8.911157025
33500,100001,27,1950,3,1,1,2,4,6,8.911157025
10990,123335,23,2014,2,2,1,2,1,5,5.5
27085,277,23,2022,2,2,1,2,3,5,4.6
23388,38092,23,2018,2,2,1,1,5,5,5.1
5990,261695,4,2000,5,4,1,2,9,5,7.6
9600,208900,6,2010,5,3,1,1,4,7,12.5
7800,203245,6,2008,5,1,1,1,2,5,12.2
8999,270000,6,2013,5,1,1,1,2,7,10.6
8888,213769,6,2010,5,1,1,1,5,5,11.6
8990,326659,6,2013,5,1,1,1,7,5,10.6
5700,227000,21,2012,1,2,1,1,1,5,7.8
120000,99000,13,2000,1,1,1,1,1,12,8.911157025
11000,240000,20,2008,6,1,2,1,1,2,12.4
38000,68000,20,2018,7,4,2,2,1,5,7.2
14888,134802,7,2015,7,4,2,2,1,5,8.4
15000,168000,7,2015,7,4,2,2,7,5,8.4
7990,220917,10,2009,5,2,1,1,2,5,9.2
84995,10,14,2019,1,2,2,1,2,6,8.911157025
519990,8860,12,2021,5,3,1,1,2,5,12.7
44950,69413,8,2013,6,1,1,2,6,2,11.5
3000,140000,20,2005,1,2,1,1,6,5,12.1
24888,116756,23,2017,5,2,1,1,4,5,5.9
16670,150538,26,2009,5,3,1,1,1,5,11.9
5400,295000,26,2009,5,3,1,1,7,5,12
3800,260159,26,2003,5,4,1,1,8,5,11.1
5990,210500,26,2006,5,3,1,1,2,5,11.1
4075,164975,26,2004,5,4,1,1,2,7,12
5000,287000,23,2003,5,4,1,1,3,5,8.911157025
49881,5288,21,2022,5,4,1,1,1,5,7.8
30888,53547,21,2015,5,4,4,1,5,5,8.911157025
